timestamp,total,anger,fear,joy,love,other,sadness,surprise
2020-06-02T04:00:00.000Z,1442391,110190,82722,805356,96430,288804,327259,81201
2020-06-02T05:00:00.000Z,1371309,99369,84508,759461,92203,272756,305636,78930
2020-06-02T06:00:00.000Z,1306728,94442,80102,728894,86563,260462,284140,72722
2020-06-02T07:00:00.000Z,1247386,92255,78686,705961,82202,245908,260442,67217
2020-06-02T08:00:00.000Z,1189206,82253,70984,686866,78649,226151,240301,63836
2020-06-02T09:00:00.000Z,1155943,74865,66523,674647,85616,215203,226237,63516
2020-06-02T10:00:00.000Z,1206686,81700,70671,701249,84449,221792,240451,67536
2020-06-02T11:00:00.000Z,1280490,90680,76947,731365,89037,236857,274279,69670
2020-06-02T12:00:00.000Z,1408016,102089,85433,801910,103462,269490,315633,80096
2020-06-02T13:00:00.000Z,1403595,104762,83502,790513,104893,268182,318430,78125
2020-06-02T14:00:00.000Z,1515364,118103,92245,866819,107102,310112,368866,88305
2020-06-02T15:00:00.000Z,1433986,107755,91738,793415,92904,294608,357587,91476
2020-06-02T16:00:00.000Z,1524666,99420,110171,884943,124791,320797,361080,96146
2020-06-02T17:00:00.000Z,1404077,96220,100313,795914,120082,289814,325167,80168
2020-06-02T18:00:00.000Z,1455902,99031,112003,823083,124828,303265,346740,82872
2020-06-02T19:00:00.000Z,1391558,94659,109307,773162,116306,289735,332048,79610
2020-06-02T20:00:00.000Z,1395590,97328,109876,766681,116115,294147,337014,81121
2020-06-02T21:00:00.000Z,1356072,96908,99107,756380,107749,286303,320114,77250
2020-06-02T22:00:00.000Z,1351609,97591,96242,762479,105666,277908,316680,75976
2020-06-02T23:00:00.000Z,1323719,96958,94629,733881,100128,271446,315970,79717
2020-06-03T00:00:00.000Z,1348231,113301,92506,747603,109940,279542,314907,77218
2020-06-03T01:00:00.000Z,1349743,105632,93796,743172,110731,274630,317513,73758
2020-06-03T02:00:00.000Z,1365469,109214,92851,753096,114280,276003,323759,70832
2020-06-03T03:00:00.000Z,1363093,111346,87877,740161,107902,280067,343336,66455
2020-06-03T04:00:00.000Z,1351187,109273,86213,726649,103488,293693,343564,64302
2020-06-03T05:00:00.000Z,1276690,99044,81354,707780,94663,264093,303539,60961
2020-06-03T06:00:00.000Z,1223491,92071,72281,691481,95879,248656,274459,58904
2020-06-03T07:00:00.000Z,1155026,83150,67725,661407,98864,224328,243675,58298
2020-06-03T08:00:00.000Z,1088499,76320,60015,638559,88688,208236,221909,56252
2020-06-03T09:00:00.000Z,1066783,72592,55804,636041,83140,203215,212567,56870
2020-06-03T10:00:00.000Z,1140175,80259,59232,675445,87063,225421,227373,59117
2020-06-03T11:00:00.000Z,1233707,88962,67044,715527,91418,250188,267075,63724
2020-06-03T12:00:00.000Z,1331748,99399,77934,766726,102214,276720,292890,68809
2020-06-03T13:00:00.000Z,1364045,100710,78304,778114,107146,287972,306066,67682
2020-06-03T14:00:00.000Z,1495465,118404,91963,849484,119676,318085,349494,81490
2020-06-03T15:00:00.000Z,1410007,100728,94345,798590,107695,297836,309726,82402
2020-06-03T16:00:00.000Z,1685050,135730,118261,943862,131134,338919,401483,96145
2020-06-03T17:00:00.000Z,1501453,113694,104599,829664,111406,288352,343258,85359
2020-06-03T18:00:00.000Z,1512959,114789,105560,836720,113024,284908,350493,92143
2020-06-03T19:00:00.000Z,1496667,105919,114288,820000,111564,272793,350987,89645
2020-06-03T20:00:00.000Z,1495481,108949,117056,813761,108052,269328,350187,89228
2020-06-03T21:00:00.000Z,1489938,107255,114941,807705,105383,265646,350441,93700
2020-06-03T22:00:00.000Z,1478700,106225,106457,803856,105261,262511,353437,98674
2020-06-03T23:00:00.000Z,1438431,101318,101092,777497,100037,258766,336307,97813
2020-06-04T00:00:00.000Z,1420509,100417,95790,773484,104824,259109,323604,98483
2020-06-04T01:00:00.000Z,1424327,99494,94067,773238,102158,267347,326916,95867
2020-06-04T02:00:00.000Z,1448085,93201,93434,806950,102804,271561,327564,94614
2020-06-04T03:00:00.000Z,1397239,89459,85465,780406,98110,269484,307955,92224
2020-06-01T04:00:00.000Z,1476139,128027,89022,788762,89609,319411,336143,67919
2020-06-01T05:00:00.000Z,1417959,116274,89479,758430,87196,299014,315302,65059
2020-06-01T06:00:00.000Z,1365904,109679,82154,737939,82149,291479,297592,63946
2020-06-01T07:00:00.000Z,1306538,96778,76000,722632,80080,278595,269793,64781
2020-06-01T08:00:00.000Z,1218164,87111,64446,690383,77864,253475,239136,63546
2020-06-01T09:00:00.000Z,1209790,81772,63975,695076,77409,242217,223768,70601
2020-06-01T10:00:00.000Z,1231291,85147,65069,707393,78859,249655,229440,67386
2020-06-01T11:00:00.000Z,1338816,95660,80179,749291,85280,275855,264681,65739
2020-06-01T12:00:00.000Z,1512008,116925,92507,833454,94271,321449,322471,84423
2020-06-01T13:00:00.000Z,1537176,119073,87690,838711,101723,341854,337803,83783
2020-06-01T14:00:00.000Z,1642306,134870,96142,906376,111258,359726,370015,92728
2020-06-01T15:00:00.000Z,1522593,139461,84351,852742,110192,316312,335240,65749
2020-06-01T16:00:00.000Z,1574595,132956,90484,844314,116447,342514,349230,82798
2020-06-01T17:00:00.000Z,1516593,123491,81026,817294,104098,322284,337403,77752
2020-06-01T18:00:00.000Z,1501471,120064,83950,807953,111497,311998,330619,82437
2020-06-01T19:00:00.000Z,1473655,114071,81151,798400,106583,310638,325983,83277
2020-06-01T20:00:00.000Z,1458953,112614,80157,789343,102999,310709,325422,82962
2020-06-01T21:00:00.000Z,1448489,110324,81142,784117,103536,312364,323391,82973
2020-06-01T22:00:00.000Z,1472380,115629,83803,807529,100711,320701,326939,79144
2020-06-01T23:00:00.000Z,1531698,119601,94183,851449,94553,332233,331102,84535
